disease,text
Adjustment disorders,"['""H""', '""Phosphate""', '""L""', '""I""', '""Creatinine""', '""Bicarbonate""', '""Potassium""', '""Sodium""', '""Chloride""', '""Glucose""', '""Magnesium""', '""Anion Gap""', '""Calcium, Total""', '""Urea Nitrogen""', '""INR(PT)""', '""PTT""', '""PT""', '""MCH""', '""MCHC""', '""Hematocrit""', '""MCV""', '""Red Blood Cells""', '""Hemoglobin""', '""White Blood Cells""', '""RDW-SD""', '""RDW""', '""Platelet Count""', '""Length of Urine Collection""', '""Uhold""', '""Urine Appearance""', '""Hyaline Casts""', '""Ketone""', '""Urine Color""', '""Bacteria""', '""Protein""', '""Urine Mucous""', '""Yeast""', '""Bilirubin""', '""Epithelial Cells""', '""Blood""', '""RBC""', '""Leukocytes""', '""WBC""', '""pH""', '""Specific Gravity""', '""Nitrite""', '""Urobilinogen""', '""Urea Nitrogen, Urine""', '""Creatinine, Urine""', '""Lactate""', '""Estimated GFR (MDRD equation)""', '""Albumin""', '""% Hemoglobin A1c""', '""eAG""', '""Oxygen Saturation""', '""Specimen Type""', '""Reticulocyte Count, Automated""', '""Reticulocyte Count, Absolute""', '""Alkaline Phosphatase""', '""Lactate Dehydrogenase (LD)""', '""Alanine Aminotransferase (ALT)""', '""Asparate Aminotransferase (AST)""', '""Bilirubin, Total""', '""Echinocytes""', '""Teardrop Cells""', '""Basophilic Stippling""', '""Acanthocytes""', '""Polychromasia""', '""Macrocytes""', '""Poikilocytosis""', '""Schistocytes""', '""Anisocytosis""', '""Hypochromia""', '""Microcytes""', '""Haptoglobin""', '""Thyroxine (T4)""', '""Bilirubin, Direct""', '""Bilirubin, Indirect""', '""Lymphocytes""', '""Absolute Neutrophil Count""', '""Basophils""', '""Absolute Basophil Count""', '""Absolute Lymphocyte Count""', '""Immature Granulocytes""', '""Monocytes""', '""Absolute Eosinophil Count""', '""Absolute Monocyte Count""', '""Eosinophils""', '""Neutrophils""']"
Alopecia,"['""Phosphate""', '""Glucose""', '""Anion Gap""', '""Magnesium""', '""Albumin""', '""Bilirubin, Total""', '""Creatinine""', '""Alanine Aminotransferase (ALT)""', '""Sodium""', '""Calcium, Total""', '""Asparate Aminotransferase (AST)""', '""Chloride""', '""Potassium""', '""Urea Nitrogen""', '""Bicarbonate""', '""Alkaline Phosphatase""', '""Lactate Dehydrogenase (LD)""', '""White Blood Cells""', '""Hemoglobin""', '""MCHC""', '""MCH""', '""RDW""', '""Platelet Count""', '""Red Blood Cells""', '""MCV""', '""Hematocrit""', '""PT""', '""PTT""', '""INR(PT)""', '""Myelocytes""', '""Atypical Lymphocytes""', '""Eosinophils""', '""Promyelocytes""', '""Bands""', '""Basophils""', '""Neutrophils""', '""Monocytes""', '""Metamyelocytes""', '""Lymphocytes""', '""Macrocytes""', '""Polychromasia""', '""Anisocytosis""', '""Microcytes""', '""Hypochromia""', '""Ovalocytes""', '""Platelet Smear""', '""Poikilocytosis""', '""Ketone""', '""Protein""', '""Urobilinogen""', '""pH""', '""Urine Appearance""', '""Bacteria""', '""Nitrite""', '""Specific Gravity""', '""WBC""', '""Urine Color""', '""Leukocytes""', '""Yeast""', '""RBC""', '""Epithelial Cells""', '""Bilirubin""', '""Urine Mucous""', '""Blood""', '""Troponin T""', '""Specimen Type""', '""Intubated""', '""O2 Flow""', '""pO2""', '""Lactate""', '""pCO2""', '""Calculated Total CO2""', '""Base Excess""', '""Oxygen Saturation""', '""Chloride, Whole Blood""', '""Potassium, Whole Blood""', '""Sodium, Whole Blood""', '""Hematocrit, Calculated""', '""Free Calcium""', '""Creatine Kinase (CK)""', '""Creatine Kinase, MB Isoenzyme""', '""Vancomycin""', '""Estimated GFR (MDRD equation)""', '""Fibrinogen, Functional""']"
Anaphylaxis,"['""Bicarbonate""', '""Creatinine""', '""Sodium""', '""Calcium, Total""', '""Anion Gap""', '""Glucose""', '""Phosphate""', '""Potassium""', '""Magnesium""', '""Chloride""', '""Urea Nitrogen""', '""Hematocrit""', '""Basophils""', '""White Blood Cells""', '""Eosinophils""', '""Lymphocytes""', '""MCHC""', '""Neutrophils""', '""MCV""', '""Red Blood Cells""', '""Hemoglobin""', '""MCH""', '""Monocytes""', '""RDW""', '""Platelet Count""', '""INR(PT)""', '""PT""', '""PTT""', '""Estimated GFR (MDRD equation)""', '""Bilirubin""', '""Nitrite""', '""WBC""', '""Urobilinogen""', '""Yeast""', '""Specific Gravity""', '""pH""', '""RBC""', '""Epithelial Cells""', '""Protein""', '""Bacteria""', '""Urine Appearance""', '""Blood""', '""Ketone""', '""Urine Color""', '""Leukocytes""']"
Ankylosing spondylitis,"['""Hematocrit""', '""Hemoglobin""', '""Red Blood Cells""', '""MCH""', '""MCV""', '""RDW""', '""Platelet Count""', '""MCHC""', '""INR(PT)""', '""PTT""', '""PT""', '""White Blood Cells""', '""Anion Gap""', '""Potassium""', '""Bicarbonate""', '""Urea Nitrogen""', '""Bilirubin, Total""', '""Creatinine""', '""Lactate Dehydrogenase (LD)""', '""Glucose""', '""Asparate Aminotransferase (AST)""', '""Calcium, Total""', '""Magnesium""', '""Albumin""', '""Chloride""', '""Sodium""', '""Phosphate""', '""Alanine Aminotransferase (ALT)""', '""Alkaline Phosphatase""', '""Neutrophils""', '""Monocytes""', '""Basophils""', '""Eosinophils""', '""Lymphocytes""', '""Estimated GFR (MDRD equation)""']"
Antibiotic-associated colitis,"['""Bicarbonate""', '""Chloride""', '""Magnesium""', '""Glucose""', '""Potassium""', '""Creatinine""', '""Urea Nitrogen""', '""Phosphate""', '""Sodium""', '""Anion Gap""', '""Calcium, Total""', '""Platelet Count""', '""Hematocrit""', '""RDW""', '""MCH""', '""MCHC""', '""Hemoglobin""', '""White Blood Cells""', '""Red Blood Cells""', '""MCV""', '""Estimated GFR (MDRD equation)""', '""Monocytes""', '""Basophils""', '""Lymphocytes""', '""Eosinophils""', '""Neutrophils""', '""Specimen Type""', '""pO2""', '""Base Excess""', '""pCO2""', '""Calculated Total CO2""', '""pH""', '""Lactate""', '""HIV Screen""', '""INR(PT)""', '""PT""', '""PTT""', '""Temperature""', '""Oxygen Saturation""', '""Ferritin""', '""Transferrin""', '""Iron""', '""Lactate Dehydrogenase (LD)""', '""Iron Binding Capacity, Total""', '""Alanine Aminotransferase (ALT)""', '""Albumin""', '""Alkaline Phosphatase""', '""Bilirubin, Total""', '""Asparate Aminotransferase (AST)""', '""Amylase""', '""NTproBNP""', '""Platelet Smear""', '""Metamyelocytes""', '""Bands""', '""Atypical Lymphocytes""', '""Myelocytes""', '""Hypochromia""', '""Polychromasia""', '""Microcytes""', '""Anisocytosis""', '""Poikilocytosis""', '""Macrocytes""', '""Polys""', '""Other Cell""', '""Macrophage""', '""Monos""', '""RBC""', '""Nitrite""', '""Hyaline Casts""', '""Urobilinogen""', '""WBC""', '""Bilirubin""', '""Urine Color""', '""Ketone""', '""Yeast""', '""Leukocytes""', '""Blood""', '""Epithelial Cells""', '""Urine Appearance""', '""Protein""', '""Bacteria""', '""Urine Mucous""', '""Specific Gravity""', '""Troponin T""', '""WBC Clumps""', '""Cortisol""', '""Fibrinogen, Functional""', '""Double Stranded DNA""', '""Thyroid Peroxidase Antibodies""', '""Thyroglobulin""', '""Anti-Thyroglobulin Antibodies""', '""Absolute Neutrophil Count""', '""Absolute Monocyte Count""', '""Absolute Basophil Count""', '""Absolute Lymphocyte Count""', '""Absolute Eosinophil Count""', '""RDW-SD""', '""C-Reactive Protein""', '""Length of Urine Collection""', '""Osmolality, Urine""', '""Potassium, Urine""', '""Creatinine, Urine""', '""Sodium, Urine""', '""Phosphate, Urine""', '""Urea Nitrogen, Urine""', '""Chloride, Urine""', '""Vancomycin""', '""Intubated""', '""Tidal Volume""', '""PEEP""', '""Oxygen""', '""Calcium Oxalate Crystals""', '""Creatine Kinase (CK)""', '""Creatine Kinase, MB Isoenzyme""', '""Problem Specimen""', '""Voided Specimen""', '""Free Calcium""', '""Reticulocyte Count, Automated""', '""Haptoglobin""', '""Folate""', '""Vitamin B12""', '""Lipase""', '""Red Top Hold""', '""Urine tube, held""', '""Immunoglobulin G""', '""Immunoglobulin A""', '""Ventilation Rate""', '""Assist/Control""', '""Triglycerides""', '""Ventilator""', '""O2 Flow""', '""Total Nucleated Cells, Pleural""', '""RBC, Pleural""', '""Macrophages""', '""Mesothelial Cells""', '""Total Protein, Pleural""', '""Albumin, Pleural""', '""Lactate Dehydrogenase, Pleural""', '""Glucose, Pleural""', '""Amorphous Crystals""', '""Granular Casts""']"
Antibiotics,"['""INR(PT)""', '""PT""', '""Potassium""', '""Chloride""', '""Sodium""', '""Anion Gap""', '""Alanine Aminotransferase (ALT)""', '""Creatinine""', '""Bicarbonate""', '""Calcium, Total""', '""H""', '""Estimated GFR (MDRD equation)""', '""Urea Nitrogen""', '""Phosphate""', '""Asparate Aminotransferase (AST)""', '""Magnesium""', '""I""', '""Glucose""', '""L""', '""Bilirubin, Total""', '""Alkaline Phosphatase""', '""PTT""', '""Metamyelocytes""', '""Lymphocytes""', '""Absolute Eosinophil Count""', '""Absolute Monocyte Count""', '""Bands""', '""Monocytes""', '""Absolute Neutrophil Count""', '""Eosinophils""', '""Myelocytes""', '""Absolute Lymphocyte Count""', '""Platelet Smear""', '""Basophils""', '""Atypical Lymphocytes""', '""Absolute Basophil Count""', '""Neutrophils""', '""Blasts""', '""Microcytes""', '""Macrocytes""', '""Teardrop Cells""', '""Ovalocytes""', '""Anisocytosis""', '""Hypochromia""', '""Poikilocytosis""', '""Polychromasia""', '""RDW-SD""', '""Hemoglobin""', '""MCH""', '""Platelet Count""', '""White Blood Cells""', '""Hematocrit""', '""Red Blood Cells""', '""MCV""', '""MCHC""', '""RDW""', '""Albumin""', '""Lactate Dehydrogenase (LD)""', '""Nucleated Red Cells""', '""Immature Granulocytes""', '""Uric Acid""', '""Spherocytes""', '""Schistocytes""', '""Lipase""', '""Amylase""', '""Creatine Kinase (CK)""', '""Vancomycin""', '""Thyroid Stimulating Hormone""', '""Cortisol""', '""Length of Urine Collection""', '""Osmolality, Urine""', '""Sodium, Urine""', '""Red Top Hold""', '""Osmolality, Measured""', '""Lactate""', '""Target Cells""', '""WBC""', '""pH""', '""Ketone""', '""Specific Gravity""', '""Urobilinogen""', '""Bilirubin""', '""Urine Color""', '""Leukocytes""', '""Bacteria""', '""RBC""', '""Epithelial Cells""', '""Protein""', '""Urine Appearance""', '""Yeast""', '""Blood""', '""Nitrite""', '""Immunophenotyping""', '""EDTA Hold""', '""HIV Screen""', '""ARCH-1""', '""Blood Parasite Smear""', '""Cytomegalovirus Viral Load""', '""Fibrinogen, Functional""', '""C-Reactive Protein""']"
Anxiety disorders,"['""Ketone""', '""Leukocytes""', '""Urobilinogen""', '""Nitrite""', '""Urine Appearance""', '""Protein""', '""pH""', '""Blood""', '""Bilirubin""', '""Glucose""', '""Specific Gravity""', '""Urine Color""', '""PTT""', '""Magnesium""', '""Sodium""', '""Bicarbonate""', '""H""', '""Chloride""', '""Potassium""', '""Anion Gap""', '""Creatinine""', '""I""', '""Urea Nitrogen""', '""L""', '""White Blood Cells""', '""RDW""', '""RDW-SD""', '""Hematocrit""', '""MCHC""', '""MCV""', '""MCH""', '""Red Blood Cells""', '""Hemoglobin""', '""Platelet Count""', '""pCO2""', '""Base Excess""', '""Intubated""', '""pO2""', '""Calculated Total CO2""', '""Specimen Type""', '""Ventilator""', '""Chloride, Whole Blood""', '""Potassium, Whole Blood""', '""Free Calcium""', '""Sodium, Whole Blood""', '""Hematocrit, Calculated""', '""Lactate""', '""INR(PT)""', '""PT""', '""Estimated GFR (MDRD equation)""', '""Troponin T""', '""Creatine Kinase, MB Isoenzyme""', '""Phosphate""', '""Calcium, Total""', '""eAG""', '""% Hemoglobin A1c""', '""Fibrinogen, Functional""', '""Lymphocytes""', '""Monocytes""', '""Hypochromia""', '""Neutrophils""', '""Metamyelocytes""', '""Absolute Neutrophil Count""', '""Anisocytosis""', '""Bands""', '""Basophils""', '""Eosinophils""', '""Absolute Monocyte Count""', '""Poikilocytosis""', '""Absolute Basophil Count""', '""Absolute Eosinophil Count""', '""Platelet Smear""', '""Myelocytes""', '""Polychromasia""', '""Microcytes""', '""Atypical Lymphocytes""', '""Absolute Lymphocyte Count""', '""Macrocytes""', '""Albumin""', '""Alkaline Phosphatase""', '""Alanine Aminotransferase (ALT)""', '""Asparate Aminotransferase (AST)""', '""Bilirubin, Total""', '""Oxygen Saturation""', '""Length of Urine Collection""', '""Uhold""', '""Urine tube, held""', '""Creatine Kinase (CK)""', '""Immature Granulocytes""', '""Red Top Hold""', '""Cholesterol, Total""', '""Cholesterol, HDL""', '""Triglycerides""', '""Cholesterol Ratio (Total/HDL)""', '""Cholesterol, LDL, Calculated""', '""Lactate Dehydrogenase (LD)""', '""NTproBNP""', '""Voided Specimen""', '""Green Top Hold (plasma)""', '""EDTA Hold""', '""RBC""', '""WBC""', '""Epithelial Cells""', '""Yeast""', '""Hyaline Casts""', '""Bacteria""', '""Urine Mucous""', '""HCG, Urine, Qualitative""', '""Calculated Bicarbonate, Whole Blood""', '""Problem Specimen""', '""Blue Top Hold""', '""Temperature""', '""Immunophenotyping""', '""Vancomycin""', '""C-Reactive Protein""', '""Creatinine, Urine""', '""Sodium, Urine""', '""Total Protein, Urine""', '""Protein/Creatinine Ratio""', '""Osmolality, Urine""', '""Iron Binding Capacity, Total""', '""Iron""', '""Transferrin""', '""Ferritin""', '""Vitamin B12""', '""Light Green Top Hold""', '""Lipase""', '""HPE2""', '""HPE3""', '""Hepatitis B Surface Antibody""', '""Hepatitis B Virus Core Antibody""', '""Hepatitis C Virus Antibody""', '""Hepatitis B Surface Antigen""', '""HPE1""', '""HPE7""', '""Ovalocytes""', '""Schistocytes""', '""Teardrop Cells""', '""Spherocytes""', '""Amylase""', '""Uric Acid""', '""Osmolality, Measured""', '""Nucleated Red Cells""', '""Acanthocytes""', '""Elliptocytes""', '""Basophilic Stippling""', '""Influenza A by PCR""', '""Influenza B by PCR""', '""Immunoglobulin A""', '""Immunoglobulin G""', '""Immunoglobulin M""', '""Thyroid Stimulating Hormone""', '""Bite Cells""', '""Thyroxine (T4)""', '""Urea Nitrogen, Urine""', '""Chloride, Urine""', '""Echinocytes""', '""Thyroxine (T4), Free""', '""RBC Morphology""', '""Other Cells""', '""Folate""', '""25-OH Vitamin D""', '""Blood, Occult""', '""XUCU""', '""Transitional Epithelial Cells""', '""UCU2""', '""Prostate Specific Antigen""', '""Cortisol""', '""Blasts""', '""WBC Clumps""', '""Pappenheimer Bodies""', '""Oxygen""', '""Alveolar-arterial Gradient""', '""Required O2""', '""Anat Path Hold""', '""Digoxin""', '""Bilirubin, Indirect""', '""Bilirubin, Direct""', '""Bicarbonate, Urine""', '""Amorphous Crystals""', '""Protein, Total""', '""Protein Electrophoresis""', '""Tidal Volume""', '""Ventilation Rate""', '""PEEP""', '""Amphetamine Screen, Urine""', '""Barbiturate Screen, Urine""', '""Oxycodone""', '""Cocaine, Urine""', '""Opiate Screen, Urine""', '""Benzodiazepine Screen, Urine""', '""Methadone, Urine""']"
Anxiety disorders,"['""Bicarbonate""', '""Creatinine""', '""Sodium""', '""Calcium, Total""', '""Anion Gap""', '""Glucose""', '""Phosphate""', '""Potassium""', '""Magnesium""', '""Chloride""', '""Urea Nitrogen""', '""Hematocrit""', '""Basophils""', '""White Blood Cells""', '""Eosinophils""', '""Lymphocytes""', '""MCHC""', '""Neutrophils""', '""MCV""', '""Red Blood Cells""', '""Hemoglobin""', '""MCH""', '""Monocytes""', '""RDW""', '""Platelet Count""', '""INR(PT)""', '""PT""', '""PTT""', '""Estimated GFR (MDRD equation)""', '""Bilirubin""', '""Nitrite""', '""WBC""', '""Urobilinogen""', '""Yeast""', '""Specific Gravity""', '""pH""', '""RBC""', '""Epithelial Cells""', '""Protein""', '""Bacteria""', '""Urine Appearance""', '""Blood""', '""Ketone""', '""Urine Color""', '""Leukocytes""', '""Voided Specimen""', '""Specimen Type""', '""Free Calcium""', '""eAG""', '""% Hemoglobin A1c""', '""Urine Mucous""', '""Lactate""', '""Temperature""', '""Calculated Bicarbonate, Whole Blood""', '""Chloride, Whole Blood""', '""Oxygen Saturation""', '""Potassium, Whole Blood""', '""Sodium, Whole Blood""', '""Urine tube, held""', '""Length of Urine Collection""', '""Thyroid Stimulating Hormone""', '""Sedimentation Rate""', '""C-Reactive Protein""', '""pO2""', '""Base Excess""', '""pCO2""', '""Calculated Total CO2""', '""HIV Screen""', '""Ferritin""', '""Transferrin""', '""Iron""', '""Lactate Dehydrogenase (LD)""', '""Iron Binding Capacity, Total""', '""Alanine Aminotransferase (ALT)""', '""Albumin""', '""Alkaline Phosphatase""', '""Bilirubin, Total""', '""Asparate Aminotransferase (AST)""', '""Amylase""', '""NTproBNP""', '""Platelet Smear""', '""Metamyelocytes""', '""Bands""', '""Atypical Lymphocytes""', '""Myelocytes""', '""Hypochromia""', '""Polychromasia""', '""Microcytes""', '""Anisocytosis""', '""Poikilocytosis""', '""Macrocytes""', '""Polys""', '""Other Cell""', '""Macrophage""', '""Monos""', '""Uhold""', '""WBC Clumps""', '""Osmolality, Urine""', '""Creatinine, Urine""', '""Potassium, Urine""', '""Sodium, Urine""', '""Chloride, Urine""', '""Urea Nitrogen, Urine""', '""Blue Top Hold""', '""Bilirubin, Direct""', '""Bilirubin, Indirect""', '""Assist/Control""', '""Intubated""', '""Hematocrit, Calculated""', '""Hyaline Casts""', '""Transitional Epithelial Cells""', '""Osmolality, Measured""', '""Fibrinogen, Functional""', '""Problem Specimen""', '""Vancomycin""', '""Haptoglobin""', '""Hepatitis C Virus Antibody""', '""Hepatitis B Virus Core Antibody""', '""Hepatitis B Surface Antibody""', '""Amorphous Crystals""', '""Hepatitis B Surface Antigen""', '""Anti-Neutrophil Cytoplasmic Antibody""', '""Anti-Nuclear Antibody""', '""C3""', '""C4""', '""Anticardiolipin Antibody IgG""', '""Anticardiolipin Antibody IgM""', '""Ammonia""', '""Cholesterol, Total""', '""Triglycerides""', '""Cholesterol, LDL, Calculated""', '""Cholesterol Ratio (Total/HDL)""', '""Cholesterol, HDL""', '""Ovalocytes""', '""Fragmented Cells""', '""Reticulocyte Count, Automated""', '""D-Dimer""', '""Creatine Kinase (CK)""', '""Protein, Total""', '""Globulin""', '""Lupus Anticoagulant""', '""Creatine Kinase, MB Isoenzyme""', '""Troponin T""', '""Blood, Occult""', '""Protein/Creatinine Ratio""', '""Magnesium, Urine""', '""Total Protein, Urine""', '""Phosphate, Urine""']"
Aortic dissection,"['""CK-MB Index""', '""Creatine Kinase (CK)""', '""Chloride""', '""Magnesium""', '""Potassium""', '""Glucose""', '""Bicarbonate""', '""Creatinine""', '""Urea Nitrogen""', '""Sodium""', '""Anion Gap""', '""Calcium, Total""', '""Phosphate""', '""Troponin T""', '""INR(PT)""', '""PT""', '""PTT""', '""Creatine Kinase, MB Isoenzyme""', '""MCV""', '""Hemoglobin""', '""Hematocrit""', '""Platelet Count""', '""MCH""', '""RDW""', '""MCHC""', '""RDW-SD""', '""Red Blood Cells""', '""White Blood Cells""', '""C-Reactive Protein""', '""Red Top Hold""', '""Cholesterol, LDL, Measured""', '""Cholesterol, Total""', '""Triglycerides""', '""Cholesterol Ratio (Total/HDL)""', '""Cholesterol, HDL""', '""Length of Urine Collection""', '""Uhold""', '""Cocaine, Urine""', '""Amphetamine Screen, Urine""', '""eAG""', '""% Hemoglobin A1c""']"
Aortic dissection,"['""Anion Gap""', '""Glucose""', '""Chloride""', '""Bicarbonate""', '""Magnesium""', '""Sodium""', '""Calcium, Total""', '""Creatinine""', '""Urea Nitrogen""', '""Phosphate""', '""Potassium""', '""MCH""', '""Hemoglobin""', '""MCHC""', '""White Blood Cells""', '""Platelet Count""', '""MCV""', '""RDW""', '""Hematocrit""', '""Red Blood Cells""', '""Urine Appearance""', '""Blood""', '""Ketone""', '""Leukocytes""', '""Specific Gravity""', '""Nitrite""', '""Bilirubin""', '""pH""', '""Protein""', '""Urobilinogen""', '""Urine Color""']"
