Acute alcoholic hepatitis,"Hepatitis, alcoholic","['Specimen Type', 'pH', 'Calculated Total CO2', 'Base Excess', 'pO2', 'pCO2', 'Hemoglobin', 'Glucose', 'Chloride, Whole Blood', 'Hematocrit, Calculated', 'Potassium, Whole Blood', 'Oxygen Saturation', 'Free Calcium', 'Sodium, Whole Blood', 'Lactate', 'Tidal Volume', 'Oxygen', 'Temperature', 'PTT', 'MCH', 'Platelet Count', 'Red Blood Cells', 'Hematocrit', 'MCHC', 'MCV', 'RDW', 'White Blood Cells', 'Anion Gap', 'Chloride', 'Bicarbonate', 'Sodium', 'Potassium', 'Asparate Aminotransferase (AST)', 'Calcium, Total', 'Alanine Aminotransferase (ALT)', 'Bilirubin, Total', 'Creatinine', 'Phosphate', 'Urea Nitrogen', 'Magnesium', 'Alkaline Phosphatase', 'Fibrinogen, Functional', 'PT', 'INR(PT)', 'Lactate Dehydrogenase (LD)', 'Uhold', 'Length of Urine Collection', 'Yeast', 'Protein', 'Leukocytes', 'Blood', 'Bilirubin', 'Ketone', 'RBC', 'Amorphous Crystals', 'Urine Appearance', 'Epithelial Cells', 'Urobilinogen', 'WBC', 'Nitrite', 'Specific Gravity', 'Bacteria', 'Urine Color', 'Urine Mucous', 'PEEP', 'Ventilation Rate', 'Intubated', 'Basophils', 'Metamyelocytes', 'Lymphocytes', 'Neutrophils', 'Myelocytes', 'Bands', 'Eosinophils', 'Atypical Lymphocytes', 'Monocytes', 'Platelet Smear', 'Ovalocytes', 'Schistocytes', 'Macrocytes', 'Poikilocytosis', 'Polychromasia', 'Microcytes', 'Anisocytosis', 'Hypochromia', 'Basophilic Stippling', 'Bilirubin, Indirect', 'Bilirubin, Direct', 'Albumin', 'Haptoglobin', 'Mesothelial Cell', 'Polys', 'Macrophage', 'RBC, Ascites', 'Total Nucleated Cells, Ascites', 'Total Protein, Ascites', 'Albumin, Ascites', 'Ventilator', 'NTproBNP', 'Creatine Kinase, MB Isoenzyme', 'Troponin T', 'Creatine Kinase (CK)', 'Estimated GFR (MDRD equation)', 'Lipase', 'Vancomycin', 'Transitional Epithelial Cells', 'Problem Specimen', 'Voided Specimen', 'Triglycerides', 'Amylase, Body Fluid', 'Miscellaneous, Body Fluid', 'Carcinoembyronic Antigen (CEA)']"
Acute and chronic cholecystitis,Cholecystitis,"['PT', 'PTT', 'INR(PT)', 'MCHC', 'Red Blood Cells', 'Hemoglobin', 'RDW', 'MCV', 'Platelet Count', 'Hematocrit', 'White Blood Cells', 'MCH', 'Calcium, Total', 'Creatinine', 'Anion Gap', 'Bilirubin, Total', 'Phosphate', 'Urea Nitrogen', 'Chloride', 'Magnesium', 'Sodium', 'Alanine Aminotransferase (ALT)', 'Glucose', 'Alkaline Phosphatase', 'Bicarbonate', 'Asparate Aminotransferase (AST)', 'Potassium', 'Estimated GFR (MDRD equation)', 'Albumin', 'RDW-SD', 'Specimen Type', 'Intubated', 'pCO2', 'Base Excess', 'pH', 'pO2', 'Calculated Total CO2', 'Free Calcium', 'Potassium, Whole Blood', 'Lactate', 'Chloride, Whole Blood', 'Hematocrit, Calculated', 'Sodium, Whole Blood', 'Oxygen Saturation']"
"Acute edema of lung, unspecified",Pulmonary edema,"['Specimen Type', 'Calculated Total CO2', 'Free Calcium', 'Base Excess', 'pH', 'pCO2', 'pO2', 'Hematocrit', 'INR(PT)', 'PT', 'White Blood Cells', 'Hemoglobin', 'MCV', 'Red Blood Cells', 'Platelet Count', 'RDW', 'MCHC', 'MCH', 'Phosphate', 'Creatinine', 'Potassium', 'Glucose', 'Magnesium', 'Chloride', 'Anion Gap', 'Bicarbonate', 'Sodium', 'Urea Nitrogen', 'Calcium, Total', 'Intubated', 'O2 Flow', 'Oxygen Saturation', 'Bilirubin', 'Epithelial Cells', 'WBC', 'Urine Mucous', 'RBC', 'Urine Color', 'Transitional Epithelial Cells', 'Ketone', 'Urine Appearance', 'Protein', 'Yeast', 'Bacteria', 'Blood', 'Leukocytes', 'Nitrite', 'Specific Gravity', 'Urobilinogen', 'PTT', 'Platelet Smear', 'Myelocytes', 'Monocytes', 'Bands', 'Eosinophils', 'Lymphocytes', 'Basophils', 'Atypical Lymphocytes', 'Metamyelocytes', 'Neutrophils', 'Polychromasia', 'Poikilocytosis', 'Macrocytes', 'Hypochromia', 'Anisocytosis', 'Microcytes', 'Alkaline Phosphatase', 'Lipase', 'Asparate Aminotransferase (AST)', 'Amylase', 'Alanine Aminotransferase (ALT)', 'Troponin T', 'Creatine Kinase (CK)', 'Hyaline Casts', 'Chloride, Whole Blood', 'Lactate', 'Hematocrit, Calculated', 'Sodium, Whole Blood', 'Potassium, Whole Blood', 'eAG', '% Hemoglobin A1c', 'Temperature', 'Ventilator', 'Ventilation Rate', 'CK-MB Index', 'Lactate Dehydrogenase (LD)', 'Bilirubin, Total', 'Creatine Kinase, MB Isoenzyme', 'NTproBNP', 'Albumin', 'Estimated GFR (MDRD equation)', 'Vancomycin', 'Problem Specimen', 'Voided Specimen', 'Triglycerides', 'Amylase, Body Fluid', 'Miscellaneous, Body Fluid', 'Carcinoembyronic Antigen (CEA)', 'Red Top Hold', 'Length of Urine Collection', 'Urine tube, held', 'Sodium, Urine', 'Chloride, Urine', 'Potassium, Urine', 'Osmolality, Urine', 'Immunoglobulin G', 'Immunoglobulin A', 'Tidal Volume', 'Assist/Control', 'Oxygen', 'PEEP', 'Total Nucleated Cells, Pleural', 'RBC, Pleural', 'Macrophages', 'Monos', 'Polys', 'Mesothelial Cells', 'Total Protein, Pleural', 'Albumin, Pleural', 'Lactate Dehydrogenase, Pleural', 'Glucose, Pleural', 'Amorphous Crystals', 'Granular Casts']"
Acute embolism and thrombosis of deep veins of right upper extremity,Deep vein thrombosis,"['Length of Urine Collection', 'Osmolality, Urine', 'Creatinine, Urine', 'Sodium, Urine', 'Specimen Type', 'pH', 'pO2', 'Base Excess', 'Calculated Total CO2', 'pCO2', 'PTT', 'INR(PT)', 'PT', 'Creatinine', 'I', 'Anion Gap', 'Phosphate', 'Magnesium', 'L', 'Glucose', 'H', 'Calcium, Total', 'Bicarbonate', 'Potassium', 'Urea Nitrogen', 'Chloride', 'Sodium', 'Osmolality, Measured', 'Bilirubin, Total', 'Asparate Aminotransferase (AST)', 'Albumin', 'Lactate Dehydrogenase (LD)', 'Alkaline Phosphatase', 'Alanine Aminotransferase (ALT)', 'RDW-SD', 'Hemoglobin', 'Hematocrit', 'MCH', 'RDW', 'MCV', 'Platelet Count', 'Red Blood Cells', 'MCHC', 'White Blood Cells', 'Oxygen', 'PEEP', 'Temperature', 'Assist/Control', 'Intubated', 'Tidal Volume', 'Ventilation Rate', 'Free Calcium', 'Lactate', 'CK-MB Index', 'Troponin T', 'Creatine Kinase (CK)', 'Creatine Kinase, MB Isoenzyme', 'Neutrophils', 'Absolute Basophil Count', 'Eosinophils', 'Absolute Eosinophil Count', 'Absolute Neutrophil Count', 'Absolute Monocyte Count', 'Immature Granulocytes', 'Basophils', 'Monocytes', 'Absolute Lymphocyte Count', 'Lymphocytes', 'Red Top Hold', 'Ventilator']"
"Acute kidney failure, unspecified",Acute kidney failure,"['Urine Appearance', 'Nitrite', 'Blood', 'Urobilinogen', 'Bilirubin', 'Leukocytes', 'Ketone', 'Protein', 'Glucose', 'Urine Color', 'Specific Gravity', 'pH', 'Length of Urine Collection', 'Osmolality, Urine', 'Fibrin Degradation Products', 'Sodium, Urine', 'Potassium, Urine', 'Chloride, Urine', 'INR(PT)', 'PTT', 'PT', 'Chloride', 'Sodium', 'Potassium', 'Urea Nitrogen', 'Bicarbonate', 'Creatinine', 'Calcium, Total', 'Anion Gap', 'Phosphate', 'Magnesium', 'Hemoglobin', 'White Blood Cells', 'MCHC', 'MCV', 'Platelet Count', 'RDW', 'MCH', 'Red Blood Cells', 'Hematocrit', 'Red Top Hold', 'Fibrinogen, Functional', 'Monocytes', 'Neutrophils', 'Eosinophils', 'Basophils', 'Lymphocytes', 'Haptoglobin', 'Bilirubin, Direct', 'Bilirubin, Indirect', 'Bilirubin, Total', 'Asparate Aminotransferase (AST)', 'Lactate Dehydrogenase (LD)', 'Vancomycin', 'Problem Specimen', 'Epithelial Cells', 'Urine Mucous', 'RBC', 'WBC', 'Yeast', 'Bacteria', 'Lactate', 'Alkaline Phosphatase', 'Estimated GFR (MDRD equation)', 'I', 'H', 'Alanine Aminotransferase (ALT)', 'L', 'Creatine Kinase, MB Isoenzyme', 'Troponin T', 'RDW-SD', 'Creatine Kinase (CK)', '25-OH Vitamin D', 'Ferritin', 'Iron', 'Transferrin', 'Iron Binding Capacity, Total', 'Parathyroid Hormone', 'Green Top Hold (plasma)', 'Light Green Top Hold', 'Blue Top Hold', 'Uhold', 'Hyaline Casts', 'Albumin', 'Creatinine, Urine', 'Total Nucleated Cells, Ascites', 'Albumin, Ascites', 'Glucose, Ascites', 'Lactate Dehydrogenase, Ascites', 'Total Protein, Ascites', 'Atypical Lymphocytes', 'Polys', 'Macrophage', 'Hematocrit, Ascites', 'Mesothelial Cell', 'Tobramycin', 'RBC, Ascites', 'Specimen Type', 'pO2', 'Calculated Total CO2', 'pCO2', 'Base Excess', 'Free Calcium', 'Bands', 'Absolute Lymphocyte Count', 'Absolute Monocyte Count', 'Myelocytes', 'Absolute Eosinophil Count', 'Absolute Neutrophil Count', 'Absolute Basophil Count', 'Metamyelocytes', 'Platelet Smear', 'Echinocytes', 'Ovalocytes', 'Polychromasia', 'Anisocytosis', 'Hypochromia', 'Poikilocytosis', 'Microcytes', 'Schistocytes', 'Acanthocytes', 'Macrocytes', 'Oxygen', 'PEEP', 'Ventilator', 'Intubated', 'Temperature', 'Tidal Volume', 'Ventilation Rate', 'Assist/Control', 'Other', 'Lipase', 'Triglycerides', 'Hematocrit, Calculated', 'Chloride, Whole Blood', 'Potassium, Whole Blood', 'Sodium, Whole Blood', 'Hepatitis C Virus Antibody', 'Hepatitis B Virus Core Antibody', 'Hepatitis B Surface Antigen', 'Hepatitis B Surface Antibody', 'D-Dimer', 'Required O2', 'Alveolar-arterial Gradient', 'Target Cells', 'Teardrop Cells', 'Nucleated Red Cells', 'Immature Granulocytes', 'Monos', 'Other Cell', 'HIV Screen', 'ARCH-1', 'Amylase, Ascites', 'Urea Nitrogen, Urine', 'Thyroxine (T4)', 'Thyroid Stimulating Hormone', 'Protein Electrophoresis', 'Immunofixation', 'Protein, Total', 'Immunoglobulin M', 'Immunoglobulin G', 'Immunoglobulin A', 'Prot. Electrophoresis, Urine', 'Total Protein, Urine', 'Oxygen Saturation', 'Amylase', 'Vitamin B12', 'Urine tube, held', 'eAG', '% Hemoglobin A1c', 'Cholesterol, HDL', 'Cholesterol, LDL, Calculated', 'Cholesterol, Total', 'Cholesterol Ratio (Total/HDL)', 'WBC Clumps', 'Reticulocyte Count, Automated', 'Reticulocyte Count, Absolute', 'Cortisol', 'Amorphous Crystals', 'O2 Flow', 'Thyroxine (T4), Free', 'Alpha-Fetoprotein', 'Carcinoembyronic Antigen (CEA)', 'Ethanol', 'Salicylate', 'Benzodiazepine Screen', 'Tricyclic Antidepressant Screen', 'Acetaminophen', 'Barbiturate Screen', 'Anti-Nuclear Antibody', 'Hepatitis A Virus Antibody', 'Plasma', 'Amphetamine Screen, Urine', 'Cocaine, Urine', 'Methadone, Urine', 'Opiate Screen, Urine', 'Barbiturate Screen, Urine', 'Benzodiazepine Screen, Urine', 'Oxycodone', 'Anti-Smooth Muscle Antibody', 'Voided Specimen', 'EDTA Hold', 'HCG, Urine, Qualitative', 'Calculated Bicarbonate, Whole Blood', 'Immunophenotyping', 'Basophilic Stippling', 'Ammonia', 'NTproBNP', 'Digoxin', 'Phenytoin', 'Osmolality, Measured', 'Influenza B by PCR', 'Influenza A by PCR', 'C-Reactive Protein', 'Sedimentation Rate', 'RBC, Joint Fluid', 'Total Nucleated Cells, Joint', 'Joint Crystals, Number', 'Protein/Creatinine Ratio', 'Albumin/Creatinine, Urine', 'Albumin, Urine', 'Gamma Glutamyltransferase', 'Granular Casts', 'Calcium Oxalate Crystals', 'Bite Cells', 'Elliptocytes', 'Uric Acid', 'Other Cells', 'Spherocytes', 'STX3', 'STX4', 'Heparin', 'Heparin, LMW', 'G6PD, Qualitative', 'UTX9', 'UTX4', 'UTX5', 'Marijuana', 'UTX2', 'UTX3', 'UTX1', 'Phosphate, Urine', 'RBC Morphology', 'Folate', 'Blood, Occult', 'XUCU', 'Transitional Epithelial Cells', 'UCU2', 'Prostate Specific Antigen', 'Total Nucleated Cells, Other', 'Hematocrit, Other Fluid', 'LD, Body Fluid', 'Albumin, Body Fluid', 'Glucose, Body Fluid', 'Total Protein, Body Fluid', 'Anti-Mitochondrial Antibody', 'HPE1', 'HPE7', 'HPE4', 'HPE2', 'HPE3', 'Human Chorionic Gonadotropin', 'Creatinine, Ascites', 'Bilirubin, Total, Ascites', 'Fragmented Cells', 'Blasts', 'CK-MB Index', 'Promyelocytes', 'Cytomegalovirus Viral Load', 'Cholesterol, LDL, Measured', 'RFXLDLM', 'H/O Smear', 'Globulin', 'Pappenheimer Bodies', 'Uric Acid, Urine', 'Immunofixation, Urine', 'Free Kappa', 'Free Lambda', 'Free Kappa/Free Lambda Ratio', 'Macrophages', 'Mesothelial Cells', 'Cholesterol, Pleural', 'RBC, Pleural', 'Total Nucleated Cells, Pleural', 'Lactate Dehydrogenase, Pleural', 'Albumin, Pleural', 'Glucose, Pleural', 'Total Protein, Pleural', 'Miscellaneous, Pleural', 'Urine Crystals, Other', 'Calcium, Urine', 'Bicarbonate, Urine', 'Anti-Neutrophil Cytoplasmic Antibody', 'C3', 'C4', 'Anticardiolipin Antibody IgG', 'Anticardiolipin Antibody IgM', 'Lupus Anticoagulant', 'Magnesium, Urine']"
"Alopecia, unspecified",Alopecia,"['Phosphate', 'Glucose', 'Anion Gap', 'Magnesium', 'Albumin', 'Bilirubin, Total', 'Creatinine', 'Alanine Aminotransferase (ALT)', 'Sodium', 'Calcium, Total', 'Asparate Aminotransferase (AST)', 'Chloride', 'Potassium', 'Urea Nitrogen', 'Bicarbonate', 'Alkaline Phosphatase', 'Lactate Dehydrogenase (LD)', 'White Blood Cells', 'Hemoglobin', 'MCHC', 'MCH', 'RDW', 'Platelet Count', 'Red Blood Cells', 'MCV', 'Hematocrit', 'PT', 'PTT', 'INR(PT)', 'Myelocytes', 'Atypical Lymphocytes', 'Eosinophils', 'Promyelocytes', 'Bands', 'Basophils', 'Neutrophils', 'Monocytes', 'Metamyelocytes', 'Lymphocytes', 'Macrocytes', 'Polychromasia', 'Anisocytosis', 'Microcytes', 'Hypochromia', 'Ovalocytes', 'Platelet Smear', 'Poikilocytosis', 'Ketone', 'Protein', 'Urobilinogen', 'pH', 'Urine Appearance', 'Bacteria', 'Nitrite', 'Specific Gravity', 'WBC', 'Urine Color', 'Leukocytes', 'Yeast', 'RBC', 'Epithelial Cells', 'Bilirubin', 'Urine Mucous', 'Blood', 'Troponin T', 'Specimen Type', 'Intubated', 'O2 Flow', 'pO2', 'Lactate', 'pCO2', 'Calculated Total CO2', 'Base Excess', 'Oxygen Saturation', 'Chloride, Whole Blood', 'Potassium, Whole Blood', 'Sodium, Whole Blood', 'Hematocrit, Calculated', 'Free Calcium', 'Creatine Kinase (CK)', 'Creatine Kinase, MB Isoenzyme', 'Vancomycin', 'Estimated GFR (MDRD equation)', 'Fibrinogen, Functional']"
Alzheimer's disease,Alzheimer’s disease,"['Chloride', 'Potassium', 'Magnesium', 'Calcium, Total', 'Glucose', 'Bicarbonate', 'Sodium', 'Urea Nitrogen', 'Creatinine', 'Phosphate', 'Albumin', 'Anion Gap', 'Red Blood Cells', 'MCH', 'MCV', 'RDW', 'MCHC', 'Hemoglobin', 'White Blood Cells', 'Hematocrit', 'Platelet Count', 'Estimated GFR (MDRD equation)', 'PTT', 'PT', 'INR(PT)', 'Blue Top Hold', 'Eosinophils', 'Neutrophils', 'Lymphocytes', 'Basophils', 'Monocytes', 'Specimen Type', 'Lactate', 'Alanine Aminotransferase (ALT)', 'Alkaline Phosphatase', 'Lipase', 'Bilirubin, Total', 'Asparate Aminotransferase (AST)', 'Length of Urine Collection', 'Protein', 'Specific Gravity', 'Bilirubin', 'Yeast', 'Urobilinogen', 'Urine Appearance', 'Urine Color', 'Leukocytes', 'RBC', 'Bacteria', 'pH', 'Blood', 'Ketone', 'Epithelial Cells', 'Nitrite', 'WBC', 'Osmolality, Urine', 'Sodium, Urine', 'Potassium, Urine', 'Chloride, Urine', 'Creatinine, Urine', 'Urea Nitrogen, Urine', 'Vancomycin', 'pCO2', 'Calculated Total CO2', 'Base Excess', 'pO2', 'Sodium, Whole Blood', 'Chloride, Whole Blood', 'Free Calcium', 'Potassium, Whole Blood', 'Iron', 'Ferritin', 'Transferrin', 'Iron Binding Capacity, Total', 'Haptoglobin']"
Amyotrophic lateral sclerosis,Amyotrophic lateral sclerosis,"['Sedimentation Rate', 'C-Reactive Protein', 'Thyroid Stimulating Hormone', 'MCH', 'Red Blood Cells', 'Hemoglobin', 'MCHC', 'Hematocrit', 'Platelet Count', 'RDW', 'MCV', 'White Blood Cells', 'Bilirubin, Total', 'Sodium', 'Urea Nitrogen', 'Glucose', 'Magnesium', 'Lactate Dehydrogenase (LD)', 'Alanine Aminotransferase (ALT)', 'Creatine Kinase (CK)', 'Troponin T', 'Chloride', 'Asparate Aminotransferase (AST)', 'Alkaline Phosphatase', 'Bicarbonate', 'Creatine Kinase, MB Isoenzyme', 'Phosphate', 'Potassium', 'Calcium, Total', 'Creatinine', 'Anion Gap', 'Sodium, Whole Blood', 'Length of Urine Collection', 'Potassium, Urine', 'Sodium, Urine', 'Chloride, Urine', 'Creatinine, Urine', 'Protein/Creatinine Ratio', 'Total Protein, Urine', 'Prot. Electrophoresis, Urine', 'L', 'H', 'I', 'RDW-SD', 'Absolute Basophil Count', 'Absolute Monocyte Count', 'Eosinophils', 'Basophils', 'Monocytes', 'Absolute Neutrophil Count', 'Absolute Eosinophil Count', 'Absolute Lymphocyte Count', 'Immature Granulocytes', 'Lymphocytes', 'Neutrophils', 'PT', 'INR(PT)', 'PTT', 'Reticulocyte Count, Automated', 'Reticulocyte Count, Absolute', 'Estimated GFR (MDRD equation)', 'Iron', 'Ferritin', 'Iron Binding Capacity, Total', 'Transferrin', 'Haptoglobin', 'Specimen Type', 'Calculated Total CO2', 'pH', 'pO2', 'pCO2', 'Base Excess', 'Uhold', 'Urea Nitrogen, Urine', 'Nitrite', 'Bilirubin', 'RBC', 'Specific Gravity', 'Ketone', 'Leukocytes', 'Urine Color', 'Blood', 'Bacteria', 'Urobilinogen', 'Epithelial Cells', 'Protein', 'Urine Appearance', 'Yeast', 'WBC', 'Osmolality, Urine', 'Lactate', 'Vancomycin', 'Oxygen', 'Intubated', 'Temperature', 'PEEP', 'Ventilation Rate', 'Tidal Volume', 'Free Calcium']"
Ankylosing spondylitis,Ankylosing spondylitis,"['Hematocrit', 'Hemoglobin', 'Red Blood Cells', 'MCH', 'MCV', 'RDW', 'Platelet Count', 'MCHC', 'INR(PT)', 'PTT', 'PT', 'White Blood Cells', 'Anion Gap', 'Potassium', 'Bicarbonate', 'Urea Nitrogen', 'Bilirubin, Total', 'Creatinine', 'Lactate Dehydrogenase (LD)', 'Glucose', 'Asparate Aminotransferase (AST)', 'Calcium, Total', 'Magnesium', 'Albumin', 'Chloride', 'Sodium', 'Phosphate', 'Alanine Aminotransferase (ALT)', 'Alkaline Phosphatase', 'Neutrophils', 'Monocytes', 'Basophils', 'Eosinophils', 'Lymphocytes', 'Estimated GFR (MDRD equation)']"
"Anxiety disorder, unspecified",Anxiety disorders,"['Ketone', 'Leukocytes', 'Urobilinogen', 'Nitrite', 'Urine Appearance', 'Protein', 'pH', 'Blood', 'Bilirubin', 'Glucose', 'Specific Gravity', 'Urine Color', 'PTT', 'Magnesium', 'Sodium', 'Bicarbonate', 'H', 'Chloride', 'Potassium', 'Anion Gap', 'Creatinine', 'I', 'Urea Nitrogen', 'L', 'White Blood Cells', 'RDW', 'RDW-SD', 'Hematocrit', 'MCHC', 'MCV', 'MCH', 'Red Blood Cells', 'Hemoglobin', 'Platelet Count', 'pCO2', 'Base Excess', 'Intubated', 'pO2', 'Calculated Total CO2', 'Specimen Type', 'Ventilator', 'Chloride, Whole Blood', 'Potassium, Whole Blood', 'Free Calcium', 'Sodium, Whole Blood', 'Hematocrit, Calculated', 'Lactate', 'INR(PT)', 'PT', 'Estimated GFR (MDRD equation)', 'Troponin T', 'Creatine Kinase, MB Isoenzyme', 'Phosphate', 'Calcium, Total', 'eAG', '% Hemoglobin A1c', 'Fibrinogen, Functional', 'Lymphocytes', 'Monocytes', 'Hypochromia', 'Neutrophils', 'Metamyelocytes', 'Absolute Neutrophil Count', 'Anisocytosis', 'Bands', 'Basophils', 'Eosinophils', 'Absolute Monocyte Count', 'Poikilocytosis', 'Absolute Basophil Count', 'Absolute Eosinophil Count', 'Platelet Smear', 'Myelocytes', 'Polychromasia', 'Microcytes', 'Atypical Lymphocytes', 'Absolute Lymphocyte Count', 'Macrocytes', 'Albumin', 'Alkaline Phosphatase', 'Alanine Aminotransferase (ALT)', 'Asparate Aminotransferase (AST)', 'Bilirubin, Total', 'Oxygen Saturation', 'Length of Urine Collection', 'Uhold', 'Urine tube, held', 'Creatine Kinase (CK)', 'Immature Granulocytes', 'Red Top Hold', 'Cholesterol, Total', 'Cholesterol, HDL', 'Triglycerides', 'Cholesterol Ratio (Total/HDL)', 'Cholesterol, LDL, Calculated', 'Lactate Dehydrogenase (LD)', 'NTproBNP', 'Voided Specimen', 'Green Top Hold (plasma)', 'EDTA Hold', 'RBC', 'WBC', 'Epithelial Cells', 'Yeast', 'Hyaline Casts', 'Bacteria', 'Urine Mucous', 'HCG, Urine, Qualitative', 'Calculated Bicarbonate, Whole Blood', 'Problem Specimen', 'Blue Top Hold', 'Temperature', 'Immunophenotyping', 'Vancomycin', 'C-Reactive Protein', 'Creatinine, Urine', 'Sodium, Urine', 'Total Protein, Urine', 'Protein/Creatinine Ratio', 'Osmolality, Urine', 'Iron Binding Capacity, Total', 'Iron', 'Transferrin', 'Ferritin', 'Vitamin B12', 'Light Green Top Hold', 'Lipase', 'HPE2', 'HPE3', 'Hepatitis B Surface Antibody', 'Hepatitis B Virus Core Antibody', 'Hepatitis C Virus Antibody', 'Hepatitis B Surface Antigen', 'HPE1', 'HPE7', 'Ovalocytes', 'Schistocytes', 'Teardrop Cells', 'Spherocytes', 'Amylase', 'Uric Acid', 'Osmolality, Measured', 'Nucleated Red Cells', 'Acanthocytes', 'Elliptocytes', 'Basophilic Stippling', 'Influenza A by PCR', 'Influenza B by PCR', 'Immunoglobulin A', 'Immunoglobulin G', 'Immunoglobulin M', 'Thyroid Stimulating Hormone', 'Bite Cells', 'Thyroxine (T4)', 'Urea Nitrogen, Urine', 'Chloride, Urine', 'Echinocytes', 'Thyroxine (T4), Free', 'RBC Morphology', 'Other Cells', 'Folate', '25-OH Vitamin D', 'Blood, Occult', 'XUCU', 'Transitional Epithelial Cells', 'UCU2', 'Prostate Specific Antigen', 'Cortisol', 'Blasts', 'WBC Clumps', 'Pappenheimer Bodies', 'Oxygen', 'Alveolar-arterial Gradient', 'Required O2', 'Anat Path Hold', 'Digoxin', 'Bilirubin, Indirect', 'Bilirubin, Direct', 'Bicarbonate, Urine', 'Amorphous Crystals', 'Protein, Total', 'Protein Electrophoresis', 'Tidal Volume', 'Ventilation Rate', 'PEEP', 'Amphetamine Screen, Urine', 'Barbiturate Screen, Urine', 'Oxycodone', 'Cocaine, Urine', 'Opiate Screen, Urine', 'Benzodiazepine Screen, Urine', 'Methadone, Urine']"
